CARRIER,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,CRS_ARR_TIME
DL,659,MSP,BOS,1130,1514
DL,661,ATL,STT,1125,1556
DL,662,TPA,DTW,825,1101
DL,665,SEA,ATL,2215,557
DL,670,ATL,DFW,1345,1515
DL,671,PBI,JFK,1950,2236
DL,672,LAX,SJC,2145,2303
DL,674,STT,ATL,1444,1758
DL,675,ATL,VPS,1025,1035
DL,675,VPS,ATL,1112,1332
DL,676,STT,JFK,1442,1758
DL,678,CHA,ATL,750,849
DL,688,CVG,SLC,1225,1425
DL,692,LAS,ATL,1200,1849
DL,693,ATL,MCI,1455,1608
DL,693,MCI,ATL,1705,2009
DL,696,ATL,PIT,2259,38
DL,697,SRQ,ATL,620,757
DL,699,PDX,MSP,1315,1831
DL,702,MCO,ATL,1230,1410
DL,705,AUS,SLC,815,1010
DL,708,MCI,ATL,1405,1706
DL,710,SLC,PDX,1015,1129
DL,715,DFW,SLC,1415,1611
DL,715,SLC,DFW,950,1340
DL,716,BDL,MSP,605,816
DL,723,MIA,JFK,705,1001
DL,725,BOS,SLC,2004,2351
DL,728,LFT,ATL,900,1134
DL,730,STX,ATL,1640,1955
DL,731,TPA,MSP,1605,1832
DL,733,DTW,LAX,1020,1237
DL,735,ATL,STX,1100,1538
DL,736,ATL,DEN,1630,1755
DL,742,ATL,CLT,2105,2216
DL,745,ATL,HSV,2220,2217
DL,748,ATL,STT,815,1245
DL,750,ATL,RSW,1757,1938
DL,750,RSW,ATL,2020,2212
DL,751,ATL,SFO,1800,2024
DL,752,HNL,MSP,1754,537
DL,753,ATL,LAX,1755,2009
DL,756,BZN,ATL,800,1356
DL,759,ATL,PHX,1905,2122
DL,760,ATL,SMF,946,1158
DL,760,SMF,ATL,1257,2018
DL,761,ATL,MSP,1206,1348
DL,762,ATL,MDW,1621,1720
DL,762,MDW,ATL,1759,2058
DL,764,ATL,MKE,816,919
DL,764,MKE,ATL,1001,1300
DL,765,JAX,ATL,930,1045
DL,766,ATL,MKE,1920,2028
DL,768,ATL,PBI,1400,1551
DL,769,ATL,GSO,1220,1336
DL,769,GSO,ATL,1415,1542
DL,771,MSP,FAR,1550,1656
DL,772,ATL,PVD,1950,2212
DL,773,LGA,MSP,1855,2111
DL,774,SAT,ATL,600,912
DL,775,ATL,STT,1515,1947
DL,776,ATL,TLH,2240,2345
DL,779,CHS,ATL,1245,1406
DL,780,PBI,LGA,1415,1709
DL,781,LGA,ATL,1155,1433
DL,783,FLL,LGA,1545,1843
DL,785,DTW,PIT,2015,2125
DL,786,LGA,FLL,1730,2043
DL,788,SEA,PHX,1855,2245
DL,789,ATL,ABQ,1655,1833
DL,791,LAX,JFK,720,1548
DL,797,MCO,LGA,1745,2023
DL,798,SAN,SLC,615,920
DL,799,DTW,PHX,2007,2239
DL,800,SEA,SLC,1117,1425
DL,801,SEA,PDX,1035,1133
DL,802,ATL,LGA,1545,1800
DL,803,DFW,SLC,1230,1423
DL,806,LAX,MEM,2315,500
DL,807,JAC,SLC,1533,1636
DL,807,SLC,JAC,1345,1456
DL,808,ORD,ATL,1000,1300
DL,809,ATL,BWI,1900,2048
DL,810,SFO,MSP,1526,2106
DL,811,ATL,MSP,1350,1532
DL,812,EWR,ATL,729,1001
DL,813,MSP,SEA,1545,1727
DL,815,ATL,TPA,1030,1156
DL,817,MLB,ATL,650,824
DL,818,ATL,RDU,820,937
DL,818,RDU,ATL,1020,1150
DL,819,DEN,DTW,615,1115
DL,820,LAX,SEA,1420,1714
DL,821,RDU,ATL,705,840
DL,822,ATL,RDU,1005,1125
DL,823,RDU,ATL,815,946
DL,825,ATL,BWI,835,1017
DL,825,BWI,ATL,1100,1305
DL,826,ATL,RDU,1240,1357
DL,829,SLC,BOS,1730,5
DL,830,ATL,RDU,1510,1630
DL,832,RDU,ATL,1830,2011
DL,833,ATL,TPA,1230,1356
DL,833,TPA,ATL,1450,1627
DL,834,ATL,RDU,1750,1912
DL,835,ATL,JAC,955,1204
DL,835,JAC,ATL,1257,1835
DL,836,HNL,ATL,1740,717
DL,837,ATL,HNL,1100,1613
DL,838,ATL,RDU,1935,2059
DL,841,MCO,MSP,1628,1902
DL,841,MSP,MCO,1110,1528
DL,842,ATL,RDU,2220,2341
DL,844,STL,ATL,1710,1950
DL,845,DTW,MCI,2033,2144
DL,847,ATL,TUS,2031,2243
DL,848,ATL,SAT,1800,1946
DL,849,MSY,ATL,600,827
DL,851,MCO,LGA,1147,1423
DL,852,DTW,MIA,1200,1513
DL,854,SFO,DTW,630,1404
DL,855,ATL,STL,1855,1941
DL,856,PBI,LGA,1855,2146
DL,858,OKC,ATL,558,902
DL,861,MSP,BOS,912,1301
DL,863,MSP,MKE,1316,1432
DL,864,MSP,MSN,2045,2148
DL,865,LGA,MCO,1405,1703
DL,867,FLL,JFK,1925,2219
DL,868,MIA,JFK,1215,1513
DL,869,ATL,PIT,1355,1535
DL,869,PIT,ATL,1617,1817
DL,870,PBI,LGA,620,910
DL,873,STT,ATL,1659,2010
DL,874,SEA,ANC,2055,2338
DL,875,MSY,ATL,915,1139
DL,876,MIA,SLC,700,1030
DL,877,BIL,MSP,1530,1829
DL,878,PDX,DTW,2325,635
DL,882,LGA,RSW,1215,1537
DL,883,PBI,LGA,1230,1522
DL,884,STL,ATL,1400,1639
DL,886,ATL,MIA,2205,1
DL,888,ATL,MSP,1920,2105
DL,889,LGA,BUF,1810,1937
DL,892,ATL,ECP,2220,2226
DL,893,MCO,JFK,1326,1603
DL,894,FNT,ATL,600,819
DL,898,DEN,SLC,1725,1906
DL,899,ATL,MCI,1835,1947
DL,900,BOS,ATL,545,847
DL,902,ATL,DTW,1458,1659
DL,903,ATL,BOS,2205,29
DL,904,LGA,ATL,600,832
DL,906,ATL,LGA,2045,2257
DL,913,MSP,TPA,1940,2
DL,914,CLT,DTW,908,1103
DL,915,MSP,JAX,1545,1940
DL,916,LAS,DTW,730,1425
DL,917,ATL,CHS,1800,1911
DL,918,IAH,ATL,600,859
DL,920,CVG,LAX,923,1125
DL,921,ATL,BHM,1815,1810
DL,922,SJU,ATL,815,1115
DL,923,DTW,MSP,838,950
DL,924,FAR,MSP,900,1013
DL,925,MCO,SLC,605,910
DL,926,STT,ATL,759,1100
DL,927,MIA,JFK,1056,1350
DL,928,CVG,MCO,945,1158
DL,929,CAE,ATL,1530,1644
DL,935,MSP,ABQ,2020,2223
DL,939,BOS,ATL,1715,2024
DL,943,MSP,BOI,2025,2254
DL,949,RSW,JFK,1950,2240
DL,951,SLC,RNO,2015,2054
DL,952,SEA,ATL,1200,1950
DL,953,DTW,RSW,825,1136
DL,954,SJU,ATL,1705,2013
DL,957,FLL,CVG,1254,1522
DL,958,ATL,LEX,1950,2107
DL,959,ABQ,ATL,800,1305
DL,960,LGA,MCO,1510,1814
DL,963,SEA,DTW,700,1422
